City	Number of Hospitals	Number of Beds	Beds for per 10 thousand people	Number of service beds Number of ICU beds	Ratio of service beds (without icu)	Number of ICU beds for per 10 thousand people
Adana	32	7033	31.7	4119	1391	73.0	6.3
Adıyaman	12	1304	20.9	907	244	85.6	3.9
Afyonkarahisar	22	2185	30.1	1607	237	82.5	3.3
Ağrı	10	878	16.3	714	77	89.1	1.4
Amasya	7	835	24.7	554	78	73.2	2.3
Ankara	88	18291	33.2	8831	2591	56.2	4.7
Antalya	47	7172	29.6	4937	1161	82.1	4.8
Artvin	8	346	19.9	271	31	86.0	1.8
Aydın	23	3147	28.7	1818	495	68.6	4.5
Balıkesir	25	3334	27.2	2351	458	81.7	3.7
Bilecik	8	335	15.0	108	44	37.1	2.0
Bingöl	8	690	24.5	471	55	74.2	2.0
Bitlis	8	959	27.4	574	104	67.1	3.0
Bolu	11	1448	46.4	999	155	77.3	5.0
Burdur	8	758	28.1	537	78	79.0	2.9
Bursa	41	7361	24.6	4512	1184	73.0	4.0
Çanakkale	14	1660	30.7	1281	178	86.4	3.3
Çankırı	9	465	21.5	359	36	83.7	1.7
Çorum	16	1662	31.0	1233	245	87.0	4.6
Denizli	24	3229	31.4	1819	514	67.0	5.0
Diyarbakır	27	4629	26.7	2026	947	55.0	5.5
Edirne	11	1936	47.0	1040	216	60.5	5.2
Elazığ	11	2991	50.2	1799	436	70.4	7.3
Erzincan	10	540	22.9	316	54	65.0	2.3
Erzurum	23	3623	47.2	2297	417	71.6	5.4
Eskişehir	15	3547	40.7	2654	471	86.3	5.4
Gaziantep	30	6015	29.7	2835	1420	61.7	7.0
Giresun	17	1575	34.7	1049	230	78.0	5.1
Gümüşhane	6	327	20.1	175	28	58.5	1.7
Hakkari	4	393	13.7	335	47	96.8	1.6
Hatay	25	4189	26.0	2628	850	78.7	5.3
Isparta	15	2022	45.8	1340	427	84.0	9.7
Mersin	27	4760	26.2	3316	911	86.2	5.0
İstanbul	236	39328	26.1	22278	7280	69.5	4.8
İzmir	58	11982	27.7	6092	1780	59.7	4.1
Kars	8	738	25.5	533	98	83.3	3.4
Kastamonu	18	1100	28.7	655	116	66.6	3.0
Kayseri	27	4573	32.9	2837	832	75.8	6.0
Kırklareli	9	907	25.1	581	145	76.2	4.0
Kırşehir	5	472	19.5	406	66	100.0	2.7
Kocaeli	28	4330	22.7	2768	879	80.2	4.6
Konya	45	7527	34.1	4457	1159	70.0	5.3
Kütahya	12	1886	32.6	1206	200	71.5	3.5
Malatya	17	2961	37.2	1747	559	72.7	7.0
Manisa	28	4580	32.0	3090	633	78.3	4.4
Kahramanmaraş	19	2945	25.7	1767	725	79.6	6.3
Mardin	12	1446	17.4	951	298	82.8	3.6
Muğla	22	2040	21.1	1391	251	77.8	2.6
Muş	7	737	18.1	581	96	90.6	2.4
Nevşehir	10	697	23.4	597	100	100.0	3.4
Niğde	8	888	24.3	594	120	77.3	3.3
Ordu	17	2144	27.8	1244	292	67.2	3.8
Rize	11	1109	31.8	861	100	85.3	2.9
Sakarya	19	1932	19.1	1485	309	91.5	3.1
Samsun	26	4624	34.6	2809	772	72.9	5.8
Siirt	9	858	25.9	673	112	90.2	3.4
Sinop	7	535	24.3	337	64	71.5	2.9
Sivas	20	2613	40.4	1236	342	54.4	5.3
Tekirdağ	18	2668	25.9	1680	500	77.5	4.9
Tokat	15	2199	35.9	1658	248	85.0	4.0
Trabzon	21	3247	40.2	1908	380	66.6	4.7
Tunceli	6	150	17.0	132	18	100.0	2.0
Şanlıurfa	20	4037	19.8	2084	986	68.3	4.8
Uşak	8	1235	33.6	820	147	75.4	4.0
Van	13	2887	25.7	2075	570	89.6	5.1
Yozgat	16	1286	30.3	1068	123	91.8	2.9
Zonguldak	12	2195	36.6	986	305	52.2	5.1
Aksaray	10	797	19.3	531	142	81.1	3.4
Bayburt	1	200	24.3	134	23	75.7	2.8
Karaman	6	598	23.7	511	87	100.0	3.5
Kırıkkale	7	1254	43.8	681	148	61.6	5.2
Batman	11	1300	21.7	730	403	81.4	6.7
Şırnak	7	631	12.0	458	68	81.3	1.3
Bartın	3	432	21.7	148	51	38.8	2.6
Ardahan	3	200	20.2	181	19	100.0	1.9
Iğdır	4	313	15.9	249	36	89.9	1.8
Yalova	7	568	21.7	329	149	78.5	5.7
Karabük	6	716	28.9	558	114	92.7	4.6
Kilis	2	321	22.5	259	48	94.9	3.4
Osmaniye	10	1295	24.2	695	301	69.9	5.6
Düzce	8	793	20.4	540	94	77.3	2.4
