City	Population	Average Household	Min Household	Max Household	Min Household Population	Max Household Population	Number of Shops	Difference
Adana	2258718	3.57255707644461	3	4	1896724	361994	920	0
Adıyaman	632459	4.09043637176403	4	5	618476	13983	258	-4
Afyonkarahisar	736912	3.34631122539957	3	4	660649	76263	300	1
Ağrı	535435	4.75440026374109	4	5	450476	84959	218	1
Amasya	335494	3.01054099274958	3	4	334320	1174	137	-7
Ankara	5663322	3.02275160378579	3	4	5620696	42626	2306	0
Antalya	2548308	3.0198411924938	3	4	2531565	16743	1038	0
Artvin	169501	2.86211275200473	2	3	118445	51056	69	1
Aydın	1119084	2.85942470247297	2	3	782734	336350	456	-1
Balıkesir	1240285	2.687770745319	2	3	922910	317375	505	1
Bilecik	218717	2.92458390636841	2	3	149572	69145	89	2
Bingöl	281768	3.66332560601391	3	4	230748	51020	115	-5
Bitlis	350994	4.43027381060675	4	5	316906	34088	143	-1
Bolu	314802	2.95088577146406	2	3	213362	101440	128	4
Burdur	267092	2.72819911528007	2	3	195801	71291	109	-5
Bursa	3101833	3.23535022354694	3	4	2876196	225637	1263	0
Çanakkale	541548	2.61224550943057	2	3	414623	126925	221	-5
Çankırı	192428	2.74004739336493	2	3	140456	51972	78	12
Çorum	530126	2.93019310695807	2	3	361837	168289	216	-1
Denizli	1040915	2.94812468425362	2	3	706154	334761	424	-1
Diyarbakır	1783431	4.54411887513309	4	5	1569881	213550	726	1
Edirne	407763	2.74078388185297	2	3	297553	110210	166	1
Elazığ	587960	3.3267052959721	3	4	530219	57741	239	5
Erzincan	234431	2.95465024817597	2	3	158687	75744	95	12
Erzurum	758279	3.74779844825904	3	4	606980	151299	309	-2
Eskişehir	888828	2.68201545464168	2	3	662807	226021	362	0
Gaziantep	2101157	4.04483388904115	4	5	2077868	23289	856	-1
Giresun	448721	2.70847963812213	2	3	331346	117375	183	-3
Gümüşhane	141702	2.87105150214592	2	3	98711	42991	58	-12
Hakkari	280514	5.15580860180924	5	6	272037	8477	114	5
Hatay	1659320	3.7317969225977	3	4	1333932	325388	676	-1
Isparta	440304	2.83737942338179	2	3	310360	129944	179	4
Mersin	1868757	3.26636541804058	3	4	1716364	152393	761	0
İstanbul	15462452	3.26783981181872	3	4	14195114	1267338	6296	0
İzmir	4394694	2.91183696098955	2	3	3018503	1376191	1789	1
Kars	284923	3.80927402433907	3	4	224392	60531	116	1
Kastamonu	376377	2.83293387847173	2	3	265716	110661	153	4
Kayseri	1421455	3.36096432249076	3	4	1268793	152662	579	0
Kırklareli	361737	2.78252746550843	2	3	260007	101730	147	5
Kırşehir	243042	3.06248675847458	3	4	238083	4959	99	-1
Kocaeli	1997258	3.36454520387413	3	4	1780858	216400	813	1
Konya	2250020	3.3812253489781	3	4	1996336	253684	916	1
Kütahya	576688	2.89438454721917	2	3	398488	178200	235	-2
Malatya	806156	3.4853138049347	3	4	693903	112253	328	2
Manisa	1450616	3.03913118168739	3	4	1431939	18677	591	-1
Kahramanmaraş	1168163	3.7791281818002	3	4	927328	240835	476	-1
Mardin	854716	4.79148985306429	4	5	713529	141187	348	1
Muğla	1000773	2.79196004608308	2	3	716897	283876	407	3
Muş	411117	4.71118190655782	4	5	349057	62060	167	6
Nevşehir	304962	3.14538144901572	3	4	290867	14095	124	4
Niğde	362071	3.17711685919821	3	4	341887	20184	147	8
Ordu	761400	2.89072468256426	2	3	526789	234611	310	1
Rize	344359	3.06342653750183	3	4	337230	7129	140	4
Sakarya	1042649	3.3730337004091	3	4	927340	115309	425	-2
Samsun	1356079	3.22435861456353	3	4	1261720	94359	552	1
Siirt	331070	4.86916186333703	4	5	271973	59097	135	-3
Sinop	216460	2.76237011705906	2	3	156721	59739	88	4
Sivas	635889	3.21072574516592	3	4	594155	41734	259	0
Tekirdağ	1081065	3.14582661266234	3	4	1030952	50113	440	1
Tokat	597861	3.10996183000914	3	4	576722	21139	243	5
Trabzon	811901	3.07407537384726	3	4	792337	19564	331	-3
Tunceli	83443	2.65698660482503	2	3	62811	20632	34	-1
Şanlıurfa	2115256	5.24594476549699	5	6	2016087	99169	861	1
Uşak	369433	2.94226670601351	2	3	251122	118311	150	7
Van	1149342	4.78973297735992	4	5	959839	189503	468	0
Yozgat	419095	3.07083853870907	3	4	409428	9667	171	-5
Zonguldak	591204	2.92730970661514	2	3	403924	187280	241	-2
Aksaray	423011	3.42567234508284	3	4	370448	52563	172	4
Bayburt	81910	3.23828438622438	3	4	75883	6027	33	27
Karaman	254919	3.08260331726036	3	4	248089	6830	104	-4
Kırıkkale	278703	2.9273789557916	2	3	190412	88291	113	11
Batman	620278	5.05736440571977	5	6	613243	7035	253	-4
Şırnak	537762	5.74770765609237	5	6	467806	69956	219	0
Bartın	198979	2.9356102003643	2	3	135563	63416	81	1
Ardahan	96161	3.25711079156876	3	4	88571	7590	39	10
Iğdır	201314	4.06277635922028	4	5	198204	3110	82	0
Yalova	276050	2.99297737153049	2	3	184466	91584	112	9
Karabük	243614	2.78109976871193	2	3	175193	68421	99	5
Kilis	142792	3.51830477908025	3	4	121757	21035	58	6
Osmaniye	548556	3.53864910516526	3	4	465056	83500	223	4
Düzce	395679	3.2740703491447	3	4	362557	33122	161	2
