Day	I.New	H.New	I.Total	I.Active	D.New	D.Total	R.New	R.Total	Se.ICU	Se.Int	Act.Icu	Act.Int	Icu.Int	Int.Icu	Int.Act	Icu.Act	Act.Dead	Icu.Dead	Int.Dead	Total.Icu	Total.Int	Icu.Out	Int.Out	Total.Dead	C.Icu	C.Int
1	1	10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	4	17	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	12	62	18	17	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
6	29	181	47	46	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	51	337	98	96	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
8	93	543	191	188	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
9	168	1737	359	355	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
10	311	1920	670	661	5	9	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	5	0	0
11	277	1992	947	926	12	21	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	12	0	0
12	289	1630	1236	1206	9	30	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	9	0	0
13	293	2528	1529	1492	7	37	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	7	0	0
14	343	1768	1872	1828	7	44	0	0	102	136	102	136	0	0	0	0	7	0	0	102	136	0	0	7	102	136
15	561	2615	2433	2374	15	59	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	15	102	136
16	1196	5066	3629	3554	16	75	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	16	102	136
17	2069	9188	5698	5590	17	92	16	16	241	344	164	343	1	77	46	1	6	1	10	241	344	3	133	17	340	347
18	1704	6527	7402	7250	16	108	28	44	309	445	152	445	0	157	81	0	0	0	16	309	445	0	254	16	649	538
19	1815	13014	9217	9007	23	131	35	79	394	568	191	568	0	203	75	0	22	0	0	394	568	0	278	22	1043	828
20	1610	13741	10827	10523	37	168	57	136	523	725	252	660	65	271	70	0	0	0	37	523	725	65	378	37	1501	1175
21	2704	31631	13531	13100	46	214	81	217	622	847	299	700	147	323	64	0	0	0	46	622	847	147	433	46	1976	1589
22	2148	14183	15679	15095	63	277	90	307	692	979	332	744	235	360	59	0	7	0	55	692	979	235	474	62	2433	2094
23	2456	13949	18135	17390	79	356	82	389	783	1101	375	783	318	408	54	0	0	0	79	783	1101	318	541	79	2898	2654
24	2786	24804	20921	20038	69	425	69	458	867	1251	415	835	416	452	49	0	5	0	64	867	1251	416	565	69	3349	3340
25	3013	31414	23934	22673	76	501	302	760	909	1311	435	842	469	474	43	0	5	0	71	909	1311	469	588	76	3789	4063
26	3135	15419	27069	25479	73	574	256	1016	935	1381	448	854	527	487	38	0	5	0	68	935	1381	527	593	73	4197	4851
27	3148	14688	30217	28268	75	649	284	1300	966	1415	462	848	567	504	32	0	5	0	70	966	1415	567	606	75	4596	5660
28	3892	16907	34109	31828	76	725	256	1556	987	1574	472	904	670	515	27	0	5	0	71	987	1574	670	613	76	4913	6621
29	4117	17698	38226	35594	87	812	264	1820	995	1492	476	840	652	519	21	0	5	0	82	995	1492	652	622	87	5256	7491
30	4056	22474	42282	39258	96	908	296	2116	1017	1552	487	847	705	530	16	0	7	0	89	1017	1552	705	635	96	5568	8408
31	4747	53063	47029	43626	98	1006	281	2397	1062	1667	508	881	786	554	11	0	16	0	82	1062	1667	786	647	98	5844	9428
32	5138	55770	52167	48127	95	1101	542	2939	1021	1626	488	837	789	533	0	0	9	0	86	1021	1626	789	619	95	6076	10435
33	4789	26565	56956	52338	97	1198	481	3420	978	1665	327	709	956	651	1504	264	0	65	32	978	1665	1285	2187	97	5769	9913
34	4093	16959	61049	55822	98	1296	511	3931	1063	1786	334	840	946	729	1707	246	2	44	52	1063	1786	1236	2488	98	5596	9211
35	4062	20311	65111	58935	107	1403	842	4773	1087	1809	359	930	879	728	1591	229	2	21	84	1087	1809	1129	2403	107	5554	8617
36	4281	22532	69392	62226	115	1518	875	5648	1052	1820	351	970	850	701	1471	213	3	1	111	1052	1820	1064	2283	115	5542	8154
37	4801	27294	74193	65487	125	1643	1415	7063	1040	1854	358	984	870	682	1365	197	2	2	121	1040	1854	1069	2168	125	5513	7840
38	4353	50805	78546	68172	126	1769	1542	8605	1014	1845	356	974	871	658	1242	180	3	2	121	1014	1845	1053	2021	126	5474	7664
39	3783	32496	82329	70012	121	1890	1822	10427	1054	1894	387	996	898	667	1135	164	2	1	118	1054	1894	1063	1920	121	5465	7638
40	3977	27139	86306	72339	127	2017	1523	11950	1031	1922	388	1005	917	643	1017	147	0	4	123	1031	1922	1068	1783	127	5428	7777
41	4674	19830	90980	75436	123	2140	1454	13404	1033	1909	400	992	917	633	906	133	0	3	120	1033	1909	1053	1659	123	5408	8027
42	4611	28921	95591	78440	119	2259	1488	14892	1006	1865	399	966	899	607	789	116	1	3	116	1006	1865	1018	1512	120	5396	8380
43	3083	12999	98674	79847	117	2376	1559	16451	985	1814	401	936	878	584	677	100	1	2	114	985	1814	980	1375	117	5401	8819
44	3116	20670	101790	80834	115	2491	2014	18465	982	1816	412	933	883	570	562	83	1	2	112	982	1816	968	1244	115	5415	9391
45	3122	23400	104912	80601	109	2600	3246	21711	929	1790	398	915	875	531	450	66	2	1	106	929	1790	942	1087	109	5402	10094
46	2861	10748	107773	79511	106	2706	3845	25556	900	1782	396	906	876	504	337	50	2	1	103	900	1782	927	944	106	5375	10932
